Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 R, R, R, R,  ,1770,S19,Black-bellied Whistling-Duck            ,Central Mixed Grass Prairie             ,DD,3,10.63,-1.42,41.53,0.009
 R, Y, R, Y,  ,1770,S20,Black-bellied Whistling-Duck            ,Edwards Plateau                         ,DD,8,8.19,-0.67,24.99,0.102
 Y,  , Y,  ,1,1770,S21,Black-bellied Whistling-Duck            ,Oaks and Prairies                       ,DD,33,8.95,5.28,13.55,3.188
 R, Y, R, R,1,1770,S25,Black-bellied Whistling-Duck            ,West Gulf Coastal Plain/ouachitas       ,DD,10,14.38,5.57,29.2,0.035
 R,  , R, Y,1,1770,S26,Black-bellied Whistling-Duck            ,Mississippi Alluvial Valley             ,DD,22,13.94,6.29,25.38,0.294
 R,  , R, R,  ,1770,S27,Black-bellied Whistling-Duck            ,Southeastern Coastal Plain              ,DD,27,11.38,-0.1,21.73,0.015
 R,  , R, Y,1,1770,S31,Black-bellied Whistling-Duck            ,Peninsular Florida                      ,DD,38,22.53,13.94,36.27,0.523
 R, R, R, Y,  ,1770,S34,Black-bellied Whistling-Duck            ,Sierra Madre Occidental                 ,DD,3,-0.17,-13.75,18.71,0.152
 Y,  , Y,  ,1,1770,S36,Black-bellied Whistling-Duck            ,Tamaulipan Brushlands                   ,DD,28,3.57,0.56,6.63,39.859
 Y,  , Y,  ,1,1770,S37,Black-bellied Whistling-Duck            ,Gulf Coastal Prairie                    ,DD,36,9.68,6.26,13.65,57.2
 R, R, R, Y,  ,1770,ARI,Black-bellied Whistling-Duck            ,Arizona                                 ,DD,3,-0.17,-13.75,18.71,0.152
 R, Y, R, R,1,1770,ARK,Black-bellied Whistling-Duck            ,Arkansas                                ,DD,9,13.05,4.12,27.71,0.09
 R,  , R, Y,1,1770,FLA,Black-bellied Whistling-Duck            ,Florida                                 ,DD,48,20.13,12.45,30.59,0.346
 R, Y, R, R,1,1770,GA ,Black-bellied Whistling-Duck            ,Georgia                                 ,DD,11,15.96,5.02,36.24,0.018
 R,  , R,  ,1,1770,LA ,Black-bellied Whistling-Duck            ,Louisiana                               ,DD,30,15.32,7.21,26.6,1.843
 R, Y, R, R,  ,1770,MIS,Black-bellied Whistling-Duck            ,Mississippi Flyway                      ,DD,6,13.51,-0.11,30.26,0.027
 R, R, R, R,  ,1770,SC ,Black-bellied Whistling-Duck            ,South Carolina                          ,DD,3,8.31,-2.17,29.21,0.01
  ,  ,  ,  ,1,1770,TEX,Black-bellied Whistling-Duck            ,Texas                                   ,DD,98,5.65,3.2,8,14.959
 Y,  , Y,  ,1,1770,US1,Black-bellied Whistling-Duck            ,United States                           ,DD,208,6.62,3.14,9.2,6.42
 Y,  , Y,  ,1,1770,SU1,Black-bellied Whistling-Duck            ,Survey-wide                             ,DD,208,6.62,3.14,9.2,6.42
 R, R, R, R,  ,1780,S21,Fulvous Whistling-Duck                  ,Oaks and Prairies                       ,Dh,4,0.27,-5.63,14.39,0.047
 R, R, R, Y,  ,1780,S31,Fulvous Whistling-Duck                  ,Peninsular Florida                      ,Dh,3,1.45,-3.12,10.1,0.614
 Y, Y, Y,  ,  ,1780,S36,Fulvous Whistling-Duck                  ,Tamaulipan Brushlands                   ,Dh,6,-0.01,-3.74,4.55,3.568
  ,  ,  ,  ,1,1780,S37,Fulvous Whistling-Duck                  ,Gulf Coastal Prairie                    ,Dh,36,2.89,0.47,6.18,49.541
 R, R, R, Y,  ,1780,FLA,Fulvous Whistling-Duck                  ,Florida                                 ,Dh,3,1.45,-3.12,10.1,0.614
 R,  , R,  ,1,1780,LA ,Fulvous Whistling-Duck                  ,Louisiana                               ,Dh,16,5.98,1.43,11.92,61.245
  ,  ,  ,  ,  ,1780,TEX,Fulvous Whistling-Duck                  ,Texas                                   ,Dh,30,0.81,-1.38,3.76,7.179
  ,  ,  ,  ,  ,1780,US1,Fulvous Whistling-Duck                  ,United States                           ,Dh,49,2.1,-0.12,4.9,9.607
  ,  ,  ,  ,  ,1780,SU1,Fulvous Whistling-Duck                  ,Survey-wide                             ,Dh,49,2.1,-0.12,4.9,9.607
 R,  , R,  ,  ,1720,A04,Canada Goose                            ,Northwestern Interior Forest            ,Dh,32,-3.23,-9.13,3.23,8.285
 Y,  , Y,  ,1,1720,A05,Canada Goose                            ,Northern Pacific Rainforest             ,Dh,101,5.49,1.28,9.63,30.494
 Y,  , Y,  ,1,1720,A06,Canada Goose                            ,Boreal Taiga Plains                     ,Dh,119,8.16,3.47,12.33,58.836
 R,  , R,  ,1,1720,S08,Canada Goose                            ,Boreal Softwood Shield                  ,Dh,96,8.9,2.27,14.71,23.106
  ,  ,  ,  ,  ,1720,S09,Canada Goose                            ,Great Basin                             ,Dh,168,2.15,-0.72,4.81,23.413
  ,  ,  ,  ,1,1720,S10,Canada Goose                            ,Northern Rockies                        ,Dh,193,4.67,1.8,7.23,24.484
  ,  ,  ,  ,1,1720,S11,Canada Goose                            ,Prairie Potholes                        ,Dh,311,9.61,6.55,12.38,172.564
 Y,  , Y,  ,1,1720,S12,Canada Goose                            ,Boreal Hardwood Transition              ,Dh,245,12.57,7.33,16.08,40.264
  ,  ,  ,  ,1,1720,S13,Canada Goose                            ,Lower Great Lakes/ St. Lawrence Plain   ,Dh,171,11.52,8.6,14.18,161.678
  ,  ,  ,  ,1,1720,S14,Canada Goose                            ,Atlantic Northern Forest                ,Dh,209,9.99,6.68,12.65,7.637
 R,  , R,  ,1,1720,S15,Canada Goose                            ,Sierra Nevada                           ,Dh,21,7.89,2.16,14.24,9.547
 Y,  , Y,  ,1,1720,S16,Canada Goose                            ,Southern Rockies/colorado Plateau       ,Dh,104,5.13,0.01,9.79,5.666
 Y,  , Y,  ,1,1720,S17,Canada Goose                            ,Badlands and Prairies                   ,Dh,85,11.41,7.27,15.27,17.339
 R,  , R, Y,  ,1720,S18,Canada Goose                            ,Shortgrass Prairie                      ,Dh,34,3.61,-2.23,8.58,0.967
 Y,  , Y,  ,1,1720,S19,Canada Goose                            ,Central Mixed Grass Prairie             ,Dh,56,8.71,5.23,12.25,4.64
 R,  , R,  ,1,1720,S21,Canada Goose                            ,Oaks and Prairies                       ,Dh,21,14.31,8.12,20.62,2.222
 Y,  , Y,  ,1,1720,S22,Canada Goose                            ,Eastern Tallgrass Prairie               ,Dh,246,12.15,8.5,14.89,44.94
  ,  ,  ,  ,1,1720,S23,Canada Goose                            ,Prairie Hardwood Transition             ,Dh,145,11.11,7.99,13.95,153.184
 Y,  , Y,  ,1,1720,S24,Canada Goose                            ,Central Hardwoods                       ,Dh,119,10.63,7.04,13.71,11.882
 R,  , R,  ,1,1720,S25,Canada Goose                            ,West Gulf Coastal Plain/ouachitas       ,Dh,27,8.42,0.27,14.81,2.425
 R,  , R,  ,1,1720,S26,Canada Goose                            ,Mississippi Alluvial Valley             ,Dh,22,9.28,3.23,15.08,5.427
 Y,  , Y,  ,1,1720,S27,Canada Goose                            ,Southeastern Coastal Plain              ,Dh,181,12.7,8.24,16.32,7.144
