Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 R, R, R, R,  ,1770,S19,Black-bellied Whistling-Duck            ,Central Mixed Grass Prairie             , DD,3,14.473,-0.986,40.204,0.012
 R, Y, R, Y,  ,1770,S20,Black-bellied Whistling-Duck            ,Edwards Plateau                         , DD,8,-0.028,-11.806,9.396,0.102
 Y,  , Y,  ,  ,1770,S21,Black-bellied Whistling-Duck            ,Oaks and Prairies                       , DD,33,1.69,-1.786,5.358,3.188
 R, Y, R, R,1,1770,S25,Black-bellied Whistling-Duck            ,West Gulf Coastal Plain/ouachitas       , DD,10,23.903,12.067,39.778,0.035
 R,  , R, Y,1,1770,S26,Black-bellied Whistling-Duck            ,Mississippi Alluvial Valley             , DD,22,27.031,17.115,38.907,0.294
 R,  , R, R,1,1770,S27,Black-bellied Whistling-Duck            ,Southeastern Coastal Plain              , DD,27,24.456,14.115,39.444,0.015
 R,  , R, Y,1,1770,S31,Black-bellied Whistling-Duck            ,Peninsular Florida                      , DD,38,33.51,26.143,42.169,0.523
 R, R, R, Y,  ,1770,S34,Black-bellied Whistling-Duck            ,Sierra Madre Occidental                 , DD,3,-7.533,-25.766,7.337,0.152
 Y,  , Y,  ,  ,1770,S36,Black-bellied Whistling-Duck            ,Tamaulipan Brushlands                   , DD,26,-2.095,-6.269,2.118,39.859
 Y,  , Y,  ,1,1770,S37,Black-bellied Whistling-Duck            ,Gulf Coastal Prairie                    , DD,36,3.752,0.25,7.413,57.2
 R, R, R, Y,  ,1770,ARI,Black-bellied Whistling-Duck            ,Arizona                                 , DD,3,-7.533,-25.766,7.337,0.152
 R, Y, R, R,1,1770,ARK,Black-bellied Whistling-Duck            ,Arkansas                                , DD,9,20.833,9.175,36.26,0.09
 R,  , R, Y,1,1770,FLA,Black-bellied Whistling-Duck            ,Florida                                 , DD,48,32.863,25.774,41.042,0.346
 R, Y, R, R,1,1770,GA ,Black-bellied Whistling-Duck            ,Georgia                                 , DD,11,27.404,14.254,50.454,0.018
 R,  , R,  ,1,1770,LA ,Black-bellied Whistling-Duck            ,Louisiana                               , DD,30,28.088,19.141,39.72,1.843
 R, Y, R, R,1,1770,MIS,Black-bellied Whistling-Duck            ,Mississippi                             , DD,6,27.161,12.345,47.627,0.027
 R, R, R, R,  ,1770,SC ,Black-bellied Whistling-Duck            ,South Carolina                          , DD,3,12.548,-0.934,33.877,0.01
  ,  ,  ,  ,  ,1770,TEX,Black-bellied Whistling-Duck            ,Texas                                   , DD,96,0.655,-1.994,3.302,14.959
  ,  ,  ,  ,1,1770,US ,Black-bellied Whistling-Duck            ,United States                           , DD,206,3.066,0.604,5.572,6.42
  ,  ,  ,  ,1,1770,SUR,Black-bellied Whistling-Duck            ,Survey-wide                             , DD,206,3.066,0.604,5.572,6.42
  ,  ,  ,  ,1,1770,US1,Black-bellied Whistling-Duck            ,United States (core)                    , DD,206,3.066,0.604,5.572,6.42
  ,  ,  ,  ,1,1770,SU1,Black-bellied Whistling-Duck            ,Survey-wide (core)                      , DD,206,3.066,0.604,5.572,6.42
 R, R, R, R,  ,1780,S21,Fulvous Whistling-Duck                  ,Oaks and Prairies                       , Dh,4,-2.368,-19.797,4.47,0.047
 R, R, R, Y,  ,1780,S31,Fulvous Whistling-Duck                  ,Peninsular Florida                      , Dh,3,0.039,-10.31,9.007,0.614
 R, Y, R,  ,  ,1780,S36,Fulvous Whistling-Duck                  ,Tamaulipan Brushlands                   , Dh,5,0.191,-4.667,7.623,3.568
 Y,  , Y,  ,  ,1780,S37,Fulvous Whistling-Duck                  ,Gulf Coastal Prairie                    , Dh,34,1.63,-1.47,5.455,49.541
 R, R, R, Y,  ,1780,FLA,Fulvous Whistling-Duck                  ,Florida                                 , Dh,3,0.039,-10.31,9.007,0.614
 R,  , R,  ,  ,1780,LA ,Fulvous Whistling-Duck                  ,Louisiana                               , Dh,14,3.048,-1.791,8.532,61.245
 Y,  , Y,  ,  ,1780,TEX,Fulvous Whistling-Duck                  ,Texas                                   , Dh,29,0.184,-2.885,3.773,7.179
 Y,  , Y,  ,  ,1780,US ,Fulvous Whistling-Duck                  ,United States                           , Dh,46,1.521,-1.226,5.037,9.607
 Y,  , Y,  ,  ,1780,SUR,Fulvous Whistling-Duck                  ,Survey-wide                             , Dh,46,1.521,-1.226,5.037,9.607
 Y,  , Y,  ,  ,1780,US1,Fulvous Whistling-Duck                  ,United States (core)                    , Dh,46,1.521,-1.226,5.037,9.607
 Y,  , Y,  ,  ,1780,SU1,Fulvous Whistling-Duck                  ,Survey-wide (core)                      , Dh,46,1.521,-1.226,5.037,9.607
 R, R, Y,  ,  ,1710,S03,Greater White-fronted Goose             ,Arctic Plains and Mountains             , Dh,4,0.02,-1.964,7.227,268.128
  ,  ,  ,  ,  ,1710,S04,Greater White-fronted Goose             ,Northwestern Interior Forest            , Dh,15,0.042,-1.273,3.438,13.369
 Y,  , Y,  ,  ,1710,AK ,Greater White-fronted Goose             ,Alaska                                  , Dh,19,0.043,-1.516,6.388,93.366
 Y,  , Y,  ,  ,1710,US ,Greater White-fronted Goose             ,United States                           , Dh,19,0.043,-1.516,6.388,93.366
 Y,  , Y,  ,  ,1710,SUR,Greater White-fronted Goose             ,Survey-wide                             , Dh,19,0.043,-1.516,6.388,93.366
 R, Y, R,  ,  ,1720,S02,Canada Goose                            ,Western Alaska                          , Dh,9,-2.401,-10.929,6.531,11.338
 R, R, R,  ,  ,1720,S03,Canada Goose                            ,Arctic Plains and Mountains             , Dh,4,1.686,-7.418,11.501,41.328
 Y,  , Y,  ,2,1720,S04,Canada Goose                            ,Northwestern Interior Forest            , Dh,50,-4.698,-8.971,-0.293,8.27
 Y,  , Y,  ,  ,1720,S05,Canada Goose                            ,Northern Pacific Rainforest             , Dh,108,3.646,-0.106,7.844,28.039
 Y,  , Y,  ,1,1720,S06,Canada Goose                            ,Boreal Taiga Plains                     , Dh,131,6.893,3.392,10.521,39.653
 R,  , R,  ,1,1720,S08,Canada Goose                            ,Boreal Softwood Shield                  , Dh,95,14.718,8.21,21.727,23.106
  ,  ,  ,  ,  ,1720,S09,Canada Goose                            ,Great Basin                             , Dh,157,1.078,-1.672,4.167,23.413
  ,  ,  ,  ,  ,1720,S10,Canada Goose                            ,Northern Rockies                        , Dh,182,2.811,-0.181,5.728,24.484
  ,  ,  ,  ,1,1720,S11,Canada Goose                            ,Prairie Potholes                        , Dh,303,8.1,5.565,10.826,172.564
  ,  ,  ,  ,1,1720,S12,Canada Goose                            ,Boreal Hardwood Transition              , Dh,242,7.784,5.16,10.429,40.264
  ,  ,  ,  ,1,1720,S13,Canada Goose                            ,Lower Great Lakes/ St. Lawrence Plain   , Dh,165,2.898,0.494,5.345,161.678
 Y,  , Y,  ,1,1720,S14,Canada Goose                            ,Atlantic Northern Forest                , Dh,203,9.15,5.905,12.223,7.637
 R,  , R,  ,  ,1720,S15,Canada Goose                            ,Sierra Nevada                           , Dh,21,6.273,-0.024,13.172,9.547
 Y,  , Y,  ,1,1720,S16,Canada Goose                            ,Southern Rockies/colorado Plateau       , Dh,101,4.26,0.807,8.091,5.666
