Credibility Code,Sample Size Code,Precision Code,Abundance Code,Significance,AOU,Region,Species,Region Name,Model,N Routes,Trend,2.5%CI,97.5%CI,Relative Abundance,Years
R,R,R,R,,1770,S19,Black-bellied Whistling-Duck,Central Mixed Grass Prairie,D,3,7.647,-3.833,27.685,0.015,1967-2023
R,Y,R,Y,1,1770,S20,Black-bellied Whistling-Duck,Edwards Plateau,D,9,10.919,2.661,23.846,0.109,1967-2023
Y,,Y,,1,1770,S21,Black-bellied Whistling-Duck,Oaks and Prairies,D,34,8.394,4.821,12.769,2.939,1967-2023
R,,R,R,,1770,S25,Black-bellied Whistling-Duck,West Gulf Coastal Plain/ouachitas,D,14,9.623,-3.8,20.361,0.029,1967-2023
R,,R,Y,1,1770,S26,Black-bellied Whistling-Duck,Mississippi Alluvial Valley,D,23,14.058,6.307,23.549,0.311,1966-2023
R,,R,R,1,1770,S27,Black-bellied Whistling-Duck,Southeastern Coastal Plain,D,33,11.43,0.439,20.606,0.013,1966-2023
R,,R,Y,1,1770,S31,Black-bellied Whistling-Duck,Peninsular Florida,D,39,23.205,13.976,35.994,0.512,1966-2023
R,R,R,Y,,1770,S34,Black-bellied Whistling-Duck,Sierra Madre Occidental,D,3,-0.198,-12.879,14.225,0.14,1968-2023
,,,,1,1770,S36,Black-bellied Whistling-Duck,Tamaulipan Brushlands,D,28,3.096,0.283,5.946,39.261,1967-2023
Y,,Y,,1,1770,S37,Black-bellied Whistling-Duck,Gulf Coastal Prairie,D,36,9.953,6.637,13.745,55.616,1967-2023
R,R,R,R,1,1770,ALA,Black-bellied Whistling-Duck,Alabama,D,3,10.939,0.1,37.872,0.001,1966-2023
R,R,R,Y,,1770,ARI,Black-bellied Whistling-Duck,Arizona,D,3,-0.198,-12.879,14.225,0.14,1968-2023
R,Y,R,R,1,1770,ARK,Black-bellied Whistling-Duck,Arkansas,D,9,13.061,4.578,26.992,0.089,1967-2023
R,,R,Y,1,1770,FLA,Black-bellied Whistling-Duck,Florida,D,50,20.995,13.149,30.753,0.338,1966-2023
R,Y,R,R,1,1770,GA,Black-bellied Whistling-Duck,Georgia,D,13,15.955,5.578,32.681,0.017,1966-2023
R,,R,,1,1770,LA,Black-bellied Whistling-Duck,Louisiana,D,33,13.892,1.698,23.305,1.177,1967-2023
R,Y,R,R,1,1770,MIS,Black-bellied Whistling-Duck,Mississippi,D,7,12.91,0.19,28.774,0.032,1966-2023
R,R,R,R,,1770,SC,Black-bellied Whistling-Duck,South Carolina,D,3,7.605,-3.077,26.373,0.01,1966-2023
,,,,1,1770,TEX,Black-bellied Whistling-Duck,Texas,D,101,5.408,3.06,7.695,14.448,1967-2023
Y,,Y,,1,1770,US1,Black-bellied Whistling-Duck,United States (core),D,222,6.465,1.942,9.002,5.593,1966-2023
Y,,Y,,1,1770,SU1,Black-bellied Whistling-Duck,Survey-wide (core),D,222,6.465,1.942,9.002,5.593,1966-2023
R,R,R,R,,1780,S21,Fulvous Whistling-Duck,Oaks and Prairies,Dh,4,0.691,-3.98,9.089,0.04,1967-2023
R,R,R,R,,1780,S26,Fulvous Whistling-Duck,Mississippi Alluvial Valley,Dh,3,2.45,-3.493,20.746,0.05,1967-2023
R,R,R,Y,,1780,S31,Fulvous Whistling-Duck,Peninsular Florida,Dh,3,1.841,-3.26,13.99,0.539,1966-2023
Y,Y,Y,,,1780,S36,Fulvous Whistling-Duck,Tamaulipan Brushlands,Dh,6,-0.276,-4.667,4.171,2.799,1967-2023
,,,,1,1780,S37,Fulvous Whistling-Duck,Gulf Coastal Prairie,Dh,36,2.932,0.637,5.938,51.727,1967-2023
R,R,R,Y,,1780,FLA,Fulvous Whistling-Duck,Florida,Dh,3,1.841,-3.26,13.99,0.539,1966-2023
Y,,Y,,1,1780,LA,Fulvous Whistling-Duck,Louisiana,Dh,19,5.798,1.623,11.403,25.608,1967-2023
,,,,,1780,TEX,Fulvous Whistling-Duck,Texas,Dh,30,0.894,-1.706,3.303,6.962,1967-2023
,,,,,1780,US1,Fulvous Whistling-Duck,United States (core),Dh,52,2.157,-0.328,4.742,8.909,1966-2023
,,,,,1780,SU1,Fulvous Whistling-Duck,Survey-wide (core),Dh,52,2.157,-0.328,4.742,8.909,1966-2023
R,,R,,,1720,A04,Canada Goose,Northwestern Interior Forest (core),Dh,37,-2.778,-8.773,3.436,6.577,1968-2023
Y,,Y,,1,1720,A05,Canada Goose,Northern Pacific Rainforest (core),Dh,105,4.953,0.877,8.962,31.333,1968-2023
Y,,Y,,1,1720,A06,Canada Goose,Boreal Taiga Plains (core),Dh,120,8.299,3.702,12.288,61.056,1968-2023
R,,R,,1,1720,S08,Canada Goose,Boreal Softwood Shield,Dh,102,7.741,1.672,13.175,21.187,1967-2023
,,,,,1720,S09,Canada Goose,Great Basin,Dh,171,2.435,-0.3,5.039,22.995,1968-2023
