Credibility Code,Sample Size Code,Precision Code,Abundance Code,Significance,AOU,Region,Species,Region Name,Model,N Routes,Trend,2.5%CI,97.5%CI,Relative Abundance
R,R,R,R,,1770,S19,Black-bellied Whistling-Duck,Central Mixed Grass Prairie,D,3,10.738,-4.22,33.116,0.015
R,Y,R,Y,,1770,S20,Black-bellied Whistling-Duck,Edwards Plateau,D,9,6.381,-1.259,14.765,0.109
Y,,Y,,,1770,S21,Black-bellied Whistling-Duck,Oaks and Prairies,D,34,1.526,-1.748,4.919,2.939
R,,R,R,1,1770,S25,Black-bellied Whistling-Duck,West Gulf Coastal Plain/ouachitas,D,14,18.605,7.794,31.204,0.029
R,,R,Y,1,1770,S26,Black-bellied Whistling-Duck,Mississippi Alluvial Valley,D,23,25.435,15.387,36.524,0.311
R,,R,R,1,1770,S27,Black-bellied Whistling-Duck,Southeastern Coastal Plain,D,33,22.998,14.198,37.739,0.013
R,,R,Y,1,1770,S31,Black-bellied Whistling-Duck,Peninsular Florida,D,39,32.617,25.417,41.595,0.512
R,R,R,Y,,1770,S34,Black-bellied Whistling-Duck,Sierra Madre Occidental,D,3,-8.14,-23.935,5.384,0.14
Y,,Y,,,1770,S36,Black-bellied Whistling-Duck,Tamaulipan Brushlands,D,26,-2.691,-6.438,1.176,39.261
Y,,Y,,1,1770,S37,Black-bellied Whistling-Duck,Gulf Coastal Prairie,D,36,4.537,1.109,8.144,55.616
R,R,R,R,1,1770,ALA,Black-bellied Whistling-Duck,Alabama,D,3,17.904,2.721,47.017,0.001
R,R,R,Y,,1770,ARI,Black-bellied Whistling-Duck,Arizona,D,3,-8.14,-23.935,5.384,0.14
R,Y,R,R,1,1770,ARK,Black-bellied Whistling-Duck,Arkansas,D,9,19.238,9.037,34.732,0.089
R,,R,Y,1,1770,FLA,Black-bellied Whistling-Duck,Florida,D,50,32.137,25.119,40.437,0.338
R,Y,R,R,1,1770,GA,Black-bellied Whistling-Duck,Georgia,D,13,24.798,11.961,42.305,0.017
R,,R,,1,1770,LA,Black-bellied Whistling-Duck,Louisiana,D,33,27.778,18.507,38.538,1.177
R,Y,R,R,1,1770,MIS,Black-bellied Whistling-Duck,Mississippi,D,7,25.277,11.3,45.424,0.032
R,R,R,R,,1770,SC,Black-bellied Whistling-Duck,South Carolina,D,3,10.551,-2.913,29.553,0.01
,,,,,1770,TEX,Black-bellied Whistling-Duck,Texas,D,99,0.477,-2.098,3.132,14.448
,,,,1,1770,US,Black-bellied Whistling-Duck,United States,D,220,3.229,0.814,5.767,5.593
,,,,1,1770,SUR,Black-bellied Whistling-Duck,Survey-wide,D,220,3.229,0.814,5.767,5.593
,,,,1,1770,US1,Black-bellied Whistling-Duck,United States (core),D,220,3.229,0.814,5.767,5.593
,,,,1,1770,SU1,Black-bellied Whistling-Duck,Survey-wide (core),D,220,3.229,0.814,5.767,5.593
R,R,R,R,,1780,S21,Fulvous Whistling-Duck,Oaks and Prairies,Dh,4,-0.157,-7.837,7.061,0.04
R,R,R,R,,1780,S26,Fulvous Whistling-Duck,Mississippi Alluvial Valley,Dh,3,1.12,-7.74,19.527,0.05
R,R,R,Y,,1780,S31,Fulvous Whistling-Duck,Peninsular Florida,Dh,3,0.043,-13.245,9.88,0.539
R,Y,R,,,1780,S36,Fulvous Whistling-Duck,Tamaulipan Brushlands,Dh,5,0.121,-5.418,6.643,2.799
Y,,Y,,,1780,S37,Fulvous Whistling-Duck,Gulf Coastal Prairie,Dh,34,1.325,-1.939,4.961,51.727
R,R,R,Y,,1780,FLA,Fulvous Whistling-Duck,Florida,Dh,3,0.043,-13.245,9.88,0.539
Y,,Y,,,1780,LA,Fulvous Whistling-Duck,Louisiana,Dh,17,2.496,-2.208,7.773,25.608
Y,,Y,,,1780,TEX,Fulvous Whistling-Duck,Texas,Dh,29,0.115,-3.246,3.233,6.962
Y,,Y,,,1780,US,Fulvous Whistling-Duck,United States,Dh,49,1.248,-1.643,4.738,8.909
Y,,Y,,,1780,SUR,Fulvous Whistling-Duck,Survey-wide,Dh,49,1.248,-1.643,4.738,8.909
Y,,Y,,,1780,US1,Fulvous Whistling-Duck,United States (core),Dh,49,1.248,-1.643,4.738,8.909
Y,,Y,,,1780,SU1,Fulvous Whistling-Duck,Survey-wide (core),Dh,49,1.248,-1.643,4.738,8.909
R,R,,,,1710,S03,Greater White-fronted Goose,Arctic Plains and Mountains,Dh,4,0,-0.954,2.925,152.171
,,,,,1710,S04,Greater White-fronted Goose,Northwestern Interior Forest,Dh,15,0,-0.844,1.992,13.552
R,R,,,,1710,S06,Greater White-fronted Goose,Boreal Taiga Plains,Dh,3,0,-1.346,2.062,9.325
,,,,,1710,AK,Greater White-fronted Goose,Alaska,Dh,19,0.001,-0.793,2.394,56.543
R,R,,,,1710,NWT,Greater White-fronted Goose,Northwest Territories,Dh,3,0,-1.346,2.062,9.325
R,R,,,,1710,CAN,Greater White-fronted Goose,Canada,Dh,3,0,-1.346,2.062,9.325
,,,,,1710,US,Greater White-fronted Goose,United States,Dh,19,0.001,-0.793,2.394,56.543
,,,,,1710,SUR,Greater White-fronted Goose,Survey-wide,Dh,22,0.001,-0.738,2.276,42.21
R,Y,R,,,1720,S02,Canada Goose,Western Alaska,Dh,9,-4.962,-13.013,3.342,10.835
R,R,R,,,1720,S03,Canada Goose,Arctic Plains and Mountains,Dh,4,2.279,-6.586,12.056,42.132
Y,,Y,,,1720,S04,Canada Goose,Northwestern Interior Forest,Dh,56,-3.364,-7.406,0.921,7.009
Y,,Y,,,1720,S05,Canada Goose,Northern Pacific Rainforest,Dh,114,2.679,-0.735,6.217,28.435
Y,,Y,,1,1720,S06,Canada Goose,Boreal Taiga Plains,Dh,132,6.572,3.243,10.056,40.926
R,,R,,1,1720,S08,Canada Goose,Boreal Softwood Shield,Dh,101,12.144,6.648,18.423,21.187
,,,,,1720,S09,Canada Goose,Great Basin,Dh,160,1.595,-1.081,4.705,22.995
,,,,,1720,S10,Canada Goose,Northern Rockies,Dh,185,2.036,-0.772,4.757,24.599
,,,,1,1720,S11,Canada Goose,Prairie Potholes,Dh,307,8.478,6.026,10.986,169.021
,,,,1,1720,S12,Canada Goose,Boreal Hardwood Transition,Dh,244,8.811,6.211,11.52,38.473
,,,,1,1720,S13,Canada Goose,Lower Great Lakes/St. Lawrence Plain,Dh,166,2.93,0.528,5.46,161.542
,,,,1,1720,S14,Canada Goose,Atlantic Northern Forest,Dh,205,8.78,5.722,11.707,7.577
R,,R,,1,1720,S15,Canada Goose,Sierra Nevada,Dh,21,7.576,1.508,13.947,9.317
Y,,Y,,1,1720,S16,Canada Goose,Southern Rockies/Colorado Plateau,Dh,101,3.991,0.556,7.829,5.584
Y,,Y,,1,1720,S17,Canada Goose,Badlands and Prairies,Dh,86,8.547,4.96,12.458,18.2
R,,R,Y,,1720,S18,Canada Goose,Shortgrass Prairie,Dh,31,3.137,-2.375,8.862,0.949
Y,,Y,,1,1720,S19,Canada Goose,Central Mixed Grass Prairie,Dh,57,6.244,1.753,10.845,4.705
R,,R,,1,1720,S21,Canada Goose,Oaks and Prairies,Dh,21,15.384,9.31,22.069,2.257
,,,,1,1720,S22,Canada Goose,Eastern Tallgrass Prairie,Dh,244,4.746,2.657,6.847,43.503
,,,,1,1720,S23,Canada Goose,Prairie Hardwood Transition,Dh,137,7.21,4.534,10.109,142.589
Y,,Y,,1,1720,S24,Canada Goose,Central Hardwoods,Dh,122,8.296,5.201,11.317,11.634
R,,R,,1,1720,S25,Canada Goose,West Gulf Coastal Plain/ouachitas,Dh,27,10.857,4.535,18.208,2.464
