adminforestid,region,forestnumber,forestorgcode,forestname,gis_acres
99061400010343,06,14,0614,Umatilla National Forest,1498100.505
99061500010343,06,15,0615,Umpqua National Forest,1035836.985
99061600010343,06,16,0616,Wallowa-Whitman National Forest,25115.872
99061600010343,06,16,0616,Wallowa-Whitman National Forest,114989.506
99061600010343,06,16,0616,Wallowa-Whitman National Forest,2385187.249
99061700010343,06,17,0617,Okanogan-Wenatchee National Forest,3857283.361
99061800010343,06,18,0618,Willamette National Forest,1801291.974
99062100010343,06,21,0621,Colville National Forest,1752994.626
99062200010343,06,22,0622,Columbia River Gorge National Scenic Area,292682.319
99080100010343,08,01,0801,National Forests in Alabama,1289512.638
99080200010343,08,02,0802,Daniel Boone National Forest,2043072.981
99080300010343,08,03,0803,Chattahoochee-Oconee National Forests,1796316.758
99080400010343,08,04,0804,Cherokee National Forest,1228297.887
99080500010343,08,05,0805,National Forests in Florida,1423182.717
99080600010343,08,06,0806,Kisatchie National Forest,1063028.793
99080700010343,08,07,0807,National Forests in Mississippi,2373305.972
99080800010343,08,08,0808,George Washington and Jefferson National Forest,3487961.681
99080900010343,08,09,0809,Ouachita National Forest,2724421.836
99081000010343,08,10,0810,Ozark-St. Francis National Forest,1532900.173
99081100010343,08,11,0811,National Forests in North Carolina,3026236.973
99060700010343,06,07,0607,Ochoco National Forest,912775.012
99060900010343,06,09,0609,Olympic National Forest,697410.578
99061000010343,06,10,0610,Rogue River-Siskiyou National Forests,1852705.172
99061200010343,06,12,0612,Siuslaw National Forest,835599.788
99081200010343,08,12,0812,Francis Marion and Sumter National Forests,1381168.146
99081300010343,08,13,0813,National Forests in Texas,1921499.821
e23b8205-a516-4aa3-945e-5dd93dbfe227,08,60,0860,Land Between the Lakes National Recreation Area,171280.76
99090300010343,09,03,0903,Chippewa National Forest,1598139.042
99090400010343,09,04,0904,Huron-Manistee National Forest,2028208.138
99090500010343,09,05,0905,Mark Twain National Forest,3071296.119
99090700010343,09,07,0907,Ottawa National Forest,1562424.367
99090800010343,09,08,0908,Shawnee National Forest,930027.571
99090900010343,09,09,0909,Superior National Forest,3886760.525
99081600010343,08,16,0816,El Yunque National Forest,55812.379
99277d9a-c8c4-49c4-aced-d7f8e1d8c78a,08,36,0836,Savannah River Site,198068.389
99091000010343,09,10,0910,Hiawatha National Forest,1300320.668
99091200010343,09,12,0912,Hoosier National Forest,646948.858
99091300010343,09,13,0913,Chequamegon-Nicolet National Forest,2005629.613
99091400010343,09,14,0914,Wayne National Forest,856184.554
99091500010343,09,15,0915,Midewin National Tallgrass Prairie,27566.06
99091900010343,09,19,0919,Allegheny National Forest,740873.218
