common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
‘Akeke‘e,Loxops caeruleirostris,Y,Wherever found,NA,NA,NA,NA,5231617,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops,Loxops caeruleirostris,5231617
‘Ōma’o,Myadestes obscurus,Y,NA,NA,Yes,NA,102,2490851,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes obscurus,2490851
ʻAkiapolaʻau,Hemignathus wilsoni,Y,Wherever found,NA,NA,NA,NA,2494611,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hemignathus,Hemignathus wilsoni,2494611
ʻAkikiki,Oreomystis bairdi,Y,Wherever found,NA,NA,NA,NA,2494355,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Oreomystis,Oreomystis bairdi,2494355
ʻAkohekohe (Crested Honeycreeper),Palmeria dolei,Y,Wherever found,NA,NA,NA,NA,5231622,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Palmeria,Palmeria dolei,5231622
Aleutian Tern,Onychoprion aleuticus,Y,NA,NA,Yes,NA,"1,2,4,5",5789282,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,Onychoprion aleuticus,5789282
Allen's Hummingbird,Selasphorus sasin,Y,NA,NA,Yes,NA,"5,32",2476852,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,Selasphorus sasin,2476852
American Avocet,Recurvirostra americana,Y,NA,NA,No,NA,"9, 33",2480258,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra americana,2480258
American Coot,Fulica americana,Y,NA,NA,Yes ‐ ssp. americana only,101,NA,2474393,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica americana,2474393
American Dipper,Cinclus mexicanus,Y,NA,NA,No,NA,"15,17",9606873,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus mexicanus,9606873
American Golden‐Plover,Pluvialis dominica,Y,NA,NA,Yes,"11,13,19,20,21,22,23,25,26,36,3 7","2,3,4",2480328,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,2480328
American Kestrel,Falco sparverius,Y,NA,NA,No ‐ ssp. paulus only,NA,"25,27,31",9685907,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco sparverius,9685907
American Oystercatcher,Haematopus palliatus,Y,NA,NA,Yes,NA,"27,30,31,37",2480273,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus palliatus,2480273
American White Pelican,Pelecanus erythrorhynchos,Y,NA,NA,No,NA,9,5229155,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,5229155
Ancient Murrelet,Synthliboramphus antiquus,Y,NA,NA,Yes,"M14,M15","1,5",2481350,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,Synthliboramphus antiquus,2481350
ʻAnianiau,Magumma parva,Y,NA,NA,Yes,NA,102,6091021,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Magumma,Magumma parva,6091021
Antillean Mango,Anthracothorax dominicus,N,NA,NA,Yes ‐ ssp. aurulentus only,101,NA,2476715,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,Anthracothorax dominicus,2476715
ʻApapane,Himatione sanguinea,Y,NA,NA,Yes,102,NA,2494524,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Himatione,Himatione sanguinea,2494524
Aplomado Falcon,Falco femoralis,Y,"Ssp. septentrionalis only ‐ wherever found
except AZ and NM",NA,NA,NA,NA,2481006,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco femoralis,2481006
Arizona Woodpecker,Dryobates arizonae,Y,NA,NA,Yes,NA,34,10814438,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus arizonae,8721784
Ashy Storm‐Petrel,Hydrobates homochroa,Y,NA,NA,Yes,M17,32,10750616,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates homochroa,10750616
Audubon's Shearwater,Puffinus lherminieri,Y,NA,NA,Yes,"M18,M19,M20, 101",NA,5229361,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus lherminieri,5229361
Bachman's Sparrow,Peucaea aestivalis,Y,NA,NA,Yes,NA,"24,25,27,31",7341544,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Peucaea,Peucaea aestivalis,7341544
Baird's Sparrow,Centronyx bairdii,Y,NA,NA,Yes,"34,35","11,17",10783710,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx bairdii,10783710
Band‐rumped Storm‐Petrel,Hydrobates castro,Y,HI only,NA,Yes,"M18,M19,M20",NA,9272607,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma castro,2482001
Bar‐tailed Godwit,Limosa lapponica,Y,NA,NA,Yes,NA,"2,3",2481681,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica,2481681
Bay‐breasted Warbler,Setophaga castanea,Y,NA,NA,No,NA,14,6093202,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga castanea,6093202
Bell's Vireo,Vireo bellii,Y,Ssp pusillus only ‐ wherever found,NA,NA,NA,NA,2487441,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo bellii,2487441
Belted Kingfisher,Megaceryle alcyon,Y,NA,NA,No,NA,13,2475472,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,Megaceryle alcyon,2475472
Bendire's Thrasher,Toxostoma bendirei,Y,NA,NA,Yes,NA,"9,16,33,34,35",5231697,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma bendirei,5231697
Bermuda Petrel,Pterodroma cahow,Y,Wherever found,NA,NA,NA,NA,2481465,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma cahow,2481465
Bewick's Wren,Thryomanes bewickii,Y,NA,NA,No ‐ ssp. bewickii only,NA,"24,25",2493843,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,Thryomanes bewickii,2493843
Bicknell's Thrush,Catharus bicknelli,Y,NA,NA,Yes,NA,"14,18",2490800,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus bicknelli,2490800
Black Noddy,Anous minutus,Y,NA,NA,Yes ‐ ssp. melanogenys only,NA,102,9803471,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,Anous minutus,9803471
Black Oystercatcher,Haematopus bachmani,Y,NA,NA,Yes,NA,"1,2,5,32",2480272,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus bachmani,2480272
Black Rail,Laterallus jamaicensis,Y,NA,Ssp. jamaicensis only ‐ wherever found,NA,NA,NA,2474590,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,Laterallus jamaicensis,2474590
Black Rosy‐Finch,Leucosticte atrata,Y,NA,NA,Yes,NA,"9,10,16",2494372,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte atrata,2494372
Black Skimmer,Rynchops niger,Y,NA,NA,Yes,NA,"27,30,31,32,33,37",2481209,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,Rynchops niger,2481209
Black Storm‐Petrel,Hydrobates melania,Y,NA,NA,Yes,NA,"32,M17",11068810,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates melania,11068810
Black Swift,Cypseloides niger,Y,NA,NA,Yes,NA,"5,9,10,15,16,32",2477282,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,Cypseloides niger,2477282
Black Tern,Chlidonias niger,Y,NA,NA,Yes ‐ ssp. surinamenisis only,NA,"9.10,11,12,17,19,23,32",2481119,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger,2481119
Black Turnstone,Arenaria melanocephala,Y,NA,NA,Yes,"5,32",2,5229406,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria melanocephala,5229406
Black‐billed Cuckoo,Coccyzus erythropthalmus,Y,NA,NA,Yes,NA,"11,12,13,14,17,19,22,23,24,28,29,30",2496286,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus erythropthalmus,2496286
Black‐capped Chickadee,Poecile atricapillus,Y,NA,NA,No ‐ ssp. practicus only,NA,28,2487805,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile atricapillus,2487805
Black‐capped Petrel,Pterodroma hasitata,Y,NA,NA,Yes,"M19,M20",NA,2481477,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma hasitata,2481477
Black‐capped Vireo,Vireo atricapilla,Y,NA,NA,Yes,NA,"19,20,35",2487438,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo atricapilla,2487438
Black‐chinned Sparrow,Spizella atrogularis,Y,NA,NA,Yes,NA,"16,32,33,34,35",2492104,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella atrogularis,2492104
Black‐footed Albatross,Phoebastria nigripes,Y,NA,NA,Yes,"102,M14,M15,M17",NA,2481383,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria nigripes,2481383
Black‐necked Stilt,Himantopus mexicanus,Y,Ssp. knudseni only ‐ wherever found,NA,NA,NA,NA,5229128,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus mexicanus,5229128
Black‐throated Gray Warbler,Setophaga nigrescens,Y,NA,NA,No,NA,"15,34",7341770,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,7341770
Black‐throated Green Warbler,Setophaga virens,Y,NA,NA,No ‐ ssp. waynei only,NA,27,6092631,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga virens,6092631
Black‐vented Shearwater,Puffinus opisthomelas,Y,NA,NA,Yes,M17,NA,5229356,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus opisthomelas,5229356
