taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
7193814,Anaxyrus boreas boreas,"Boreal toad (Southern Rocky
Mountain population)",Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2427185,Lithobates pipiens,Northern leopard frog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2494359,Leucosticte australis,Brown-capped rosy-finch,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2497240,Athene cunicularia,Burrowing owl,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6180028,Tympanuchus phasianellus columbianus,Columbian sharp-tailed grouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2480506,Aquila chrysaetos,Golden eagle,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5959240,Centrocercus urophasianus,Greater sage-grouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6176784,Grus canadensis tabida,Greater sandhill crane,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5959243,Centrocercus minimus,Gunnison sage-grouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2473529,Tympanuchus pallidicinctus,Lesser prairie-chicken,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2480292,Charadrius montanus,Mountain plover,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6180020,Tympanuchus phasianellus jamesii,Plains sharp-tailed grouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5227725,Lagopus leucura altipetens,Southern white-tailed ptarmigan,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6174856,Empidonax traillii extimus,Southwestern willow flycatcher,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6170319,Coccyzus americanus occidentalis,Western yellow-billed cuckoo,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2382268,Etheostoma cragini,Arkansas darter,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
4286866,Catostomus discobolus,Bluehead sucker,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2360109,Gila elegans,Bonytail chub,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2364394,Hybognathus hankinsoni,Brassy minnow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5205692,Ptychocheilus lucius,Colorado pikeminnow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5853893,Oncorhynchus clarkii pleuriticus,Colorado River cutthroat trout,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2366967,Luxilus cornutus,Common shiner,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2359036,Catostomus latipinnis,Flannelmouth sucker,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2362460,Platygobio gracilus,Flathead chub,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5711988,Oncorhynchus clarkii stomias,Greenback cutthroat trout,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2360081,Gila cypha,Humpback chub,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2359047,Catostomus playtrhynchus,Mountain sucker,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2365385,Phoxinus eos,Northern redbelly dace,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2394483,Lepomis humilis,Orangespotted sunfish,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2382332,Etheostoma spectabile,Orangethroat darter,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2364391,Hybognathus placitus,Plains minnow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5203693,Fundulus sciadicus,Plains topminnow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2359095,Xyrauchen texanus,Razorback sucker,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2360118,Gila Pandora,Rio Grande chub,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5711985,Oncorhynchus clarkii virginalis,Rio Grande cutthroat trout,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2359044,Catostomus plebeius,Rio Grande sucker,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2360128,Gila robusta,Roundtail chub,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2365382,Phoxinus erythrogaster,Southern redbelly dace,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2341033,Noturus flavus,Stonecat,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2363799,Phenacobius mirabilis,Suckermouth minnow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2436982,Ochotona princeps,American pika**,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5218985,Mustela nigripes,Black-footed ferret,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2432399,Myotis thysanodes,Fringed myotis,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
