taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
2427610,Acris blanchardi,Blanchard's Cricket Frog,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2422924,Anaxyrus boreas,Boreal Toad (Southern Rocky Mountain Population),Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2421773,Gastrophryne olivacea,Western Narrow- mouthed Toad,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2427062,Lithobates blairi,Plains Leopard Frog,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2427185,Lithobates pipiens,Northern Leopard Frog,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2427072,Lithobates sylvaticus,Wood Frog,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2429795,Scaphiopus couchii,Couch's Spadefoot,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
9018037,Antigone canadensis tabida,Greater Sandhill Crane,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2497240,Athene cunicularia,Burrowing Owl,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2480566,Buteo regalis,Ferruginous Hawk,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5959243,Centrocercus minimus,Gunnison Sage- Grouse,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5959240,Centrocercus urophasianus,Greater Sage- Grouse,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2480283,Charadrius melodus,Piping Plover,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2480292,Charadrius montanus,Mountain Plover,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
6065880,Charadrius nivosus nivosus,Western Snowy Plover,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
6170319,Coccyzus americanus occidentalis,Western Yellow- billed Cuckoo,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
6174856,Empidonax traillii extimus,Southwestern Willow Flycatcher,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
6177974,Falco peregrinus anatum,American Peregrine Falcon,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2474941,Grus americana,Whooping Crane,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2480446,Haliaeetus leucocephalus,Bald Eagle,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2481794,Numenius americanus,Long- billed Curlew,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5789285,Sternula antillarum,Least Tern,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
6176045,Strix occidentalis lucida,Mexican Spotted Owl,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2473529,Tympanuchus pallidicinctus,Lesser Prairie- chicken,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
6180028,Tympanuchus phasianellus columbianus,Columbian Sharp- tailed Grouse,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
6180020,Tympanuchus phasianellus jamesi,Plains Sharp- tailed Grouse,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2359047,Catostomus platyrhynchus,Mountain Sucker,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2359044,Catostomus plebeius,Rio Grande Sucker,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2365385,Chrosomus eos,Northern Redbelly Dace,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2365382,Chrosomus erythrogaster,Southern Redbelly Dace,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2360898,Couesius plumbeus,Lake Chub,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2382268,Etheostoma cragini,Arkansas Darter,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2382377,Etheostoma exile,Iowa Darter,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2382332,Etheostoma spectabile,Orangethroat Darter,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2360081,Gila cypha,Humpback Chub,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2360109,Gila elegans,Bonytail Chub,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2360118,Gila pandora,Rio Grande Chub,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2360128,Gila robusta,Roundtail Chub,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2364394,Hybognathus hankinsoni,Brassy Minnow,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2364391,Hybognathus placitus,Plains Minnow,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2366967,Luxilus cornutus,Common Shiner,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2341033,Noturus flavus,Stonecat,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5853893,Oncorhynchus clarkii pleuriticus,Colorado River Cutthroat Trout,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5711988,Oncorhynchus clarkii stomias,Greenback Cutthroat Trout,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
5711985,Oncorhynchus clarkii virginalis,Rio Grande Cutthroat Trout,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2363799,Phenacobius mirabilis,Suckermouth Minnow,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2362460,Platygobio gracilis,Flathead Chub,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5205692,Ptychocheilus lucius,Colorado Pikeminnow,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2359095,Xyrauchen texanus,Razorback Sucker,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
6163672,Corynorhinus townsendii pallescens,Townsend's Big- eared Bat Subsp,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2437232,Cynomys ludovicianus,Black- tailed Prairie Dog,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5219073,Gulo gulo,Wolverine,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
2435263,Lynx canadensis,Lynx,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
