taxon_id,scientific_name,group_level2,region,rfssl,region_num,status_area,status_authority,status_all,status_simple,status_type
2431962,Ambystoma jeffersonianum,Amphibians,R9,TRUE,9,USFS Region 9,US Forest Service,USFS R9 Sensitive Species,Sensitive Species,Sensitive Species
2432014,Ambystoma laterale,Amphibians,R9,TRUE,9,USFS Region 9,US Forest Service,USFS R9 Sensitive Species,Sensitive Species,Sensitive Species
2432001,Ambystoma mabeei,Amphibians,R8,TRUE,8,USFS Region 8,US Forest Service,USFS R8 Sensitive Species,Sensitive Species,Sensitive Species
2431944,Ambystoma talpoideum,Amphibians,R9,TRUE,9,USFS Region 9,US Forest Service,USFS R9 Sensitive Species,Sensitive Species,Sensitive Species
2422924,Anaxyrus boreas,Amphibians,R1,TRUE,1,USFS Region 1,US Forest Service,USFS R1 Sensitive Species,Sensitive Species,Sensitive Species
2422924,Anaxyrus boreas,Amphibians,R2,TRUE,2,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2422924,Anaxyrus boreas,Amphibians,R4,TRUE,4,USFS Region 4,US Forest Service,USFS R4 Sensitive Species,Sensitive Species,Sensitive Species
7193814,Anaxyrus boreas boreas,Amphibians,R3,TRUE,3,USFS Region 3,US Forest Service,USFS R3 Sensitive Species,Sensitive Species,Sensitive Species
2422932,Anaxyrus canorus,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2422884,Anaxyrus exsul,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2422865,Anaxyrus woodhousii,Amphibians,R6,TRUE,6,USFS Region 6,US Forest Service,USFS R6 Sensitive Species,Sensitive Species,Sensitive Species
2431719,Aneides aeneus,Amphibians,R8,TRUE,8,USFS Region 8,US Forest Service,USFS R8 Sensitive Species,Sensitive Species,Sensitive Species
2431719,Aneides aeneus,Amphibians,R9,TRUE,9,USFS Region 9,US Forest Service,USFS R9 Sensitive Species,Sensitive Species,Sensitive Species
2431706,Aneides flavipunctatus,Amphibians,R6,TRUE,6,USFS Region 6,US Forest Service,USFS R6 Sensitive Species,Sensitive Species,Sensitive Species
2431721,Aneides hardii,Amphibians,R3,TRUE,3,USFS Region 3,US Forest Service,USFS R3 Sensitive Species,Sensitive Species,Sensitive Species
2429805,Ascaphus montanus,Amphibians,R6,TRUE,6,USFS Region 6,US Forest Service,USFS R6 Sensitive Species,Sensitive Species,Sensitive Species
7662131,Batrachoseps bramei,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431759,Batrachoseps campi,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431770,Batrachoseps gabrieli,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431756,Batrachoseps incognitus,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431774,Batrachoseps minor,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431749,Batrachoseps regius,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431761,Batrachoseps relictus,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
2431755,Batrachoseps simatus,Amphibians,R5,TRUE,5,USFS Region 5,US Forest Service,USFS R5 Sensitive Species,Sensitive Species,Sensitive Species
6170087,Craugastor augusti cactorum,Amphibians,R3,TRUE,3,USFS Region 3,US Forest Service,USFS R3 Sensitive Species,Sensitive Species,Sensitive Species
2432031,Cryptobranchus alleganiensis,Amphibians,R8,TRUE,8,USFS Region 8,US Forest Service,USFS R8 Sensitive Species,Sensitive Species,Sensitive Species
2432031,Cryptobranchus alleganiensis,Amphibians,R9,TRUE,9,USFS Region 9,US Forest Service,USFS R9 Sensitive Species,Sensitive Species,Sensitive Species
2431239,Desmognathus apalachicolae,Amphibians,R8,TRUE,8,USFS Region 8,US Forest Service,USFS R8 Sensitive Species,Sensitive Species,Sensitive Species
2431210,Desmognathus folkertsi,Amphibians,R8,TRUE,8,USFS Region 8,US Forest Service,USFS R8 Sensitive Species,Sensitive Species,Sensitive Species
10606278,Desmognathus organi,Amphibians,R8,TRUE,8,USFS Region 8,US Forest Service,USFS R8 Sensitive Species,Sensitive Species,Sensitive Species
2432025,Dicamptodon copei,Amphibians,R6,TRUE,6,USFS Region 6,US Forest Service,USFS R6 Sensitive Species,Sensitive Species,Sensitive Species
