taxon_id,scientific_name,kingdom,phylum,class,order,family,genus,species,subspecies,form,variety
7193814,Anaxyrus boreas boreas,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,Anaxyrus boreas boreas,NA,NA
2431721,Aneides hardii,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,Aneides hardii,NA,NA,NA
6170087,Craugastor augusti cactorum,Animalia,Chordata,Amphibia,Anura,Craugastoridae,Craugastor,Craugastor augusti,Craugastor augusti cactorum,NA,NA
10678300,Hyla wrightorum,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,Dryophytes wrightorum,NA,NA,NA
2427185,Lithobates pipiens,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,NA,NA,NA
2427181,Lithobates tarahumarae,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates tarahumarae,NA,NA,NA
2427144,Lithobates yavapaiensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates yavapaiensis,NA,NA,NA
2431962,Ambystoma jeffersonianum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma jeffersonianum,NA,NA,NA
2432014,Ambystoma laterale,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma laterale,NA,NA,NA
2432001,Ambystoma mabeei,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma mabeei,NA,NA,NA
2431944,Ambystoma talpoideum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma talpoideum,NA,NA,NA
2429805,Ascaphus montanus,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,Ascaphus montanus,NA,NA,NA
7662131,Batrachoseps bramei,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps bramei,NA,NA,NA
2431759,Batrachoseps campi,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps campi,NA,NA,NA
2431770,Batrachoseps gabrieli,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps gabrieli,NA,NA,NA
2431756,Batrachoseps incognitus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps incognitus,NA,NA,NA
2431774,Batrachoseps minor,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps minor,NA,NA,NA
2431749,Batrachoseps regius,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps regius,NA,NA,NA
2431761,Batrachoseps relictus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps relictus,NA,NA,NA
2431755,Batrachoseps simatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps simatus,NA,NA,NA
2422932,Anaxyrus canorus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus canorus,NA,NA,NA
2422924,Anaxyrus boreas,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,NA,NA,NA
2422884,Anaxyrus exsul,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus exsul,NA,NA,NA
2422865,Anaxyrus woodhousii,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii,NA,NA,NA
2431719,Aneides aeneus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,Aneides aeneus,NA,NA,NA
2431706,Aneides flavipunctatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,Aneides flavipunctatus,NA,NA,NA
2432031,Cryptobranchus alleganiensis,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,Cryptobranchus alleganiensis,NA,NA,NA
2431239,Desmognathus apalachicolae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,Desmognathus apalachicolae,NA,NA,NA
2431210,Desmognathus folkertsi,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,Desmognathus folkertsi,NA,NA,NA
10606278,Desmognathus organi,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,Desmognathus organi,NA,NA,NA
2432025,Dicamptodon copei,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,Dicamptodon copei,NA,NA,NA
6170225,Ensatina eschscholtzii croceater,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,Ensatina eschscholtzii,Ensatina eschscholtzii croceater,NA,NA
6170221,Ensatina eschscholtzii klauberi,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,Ensatina eschscholtzii,Ensatina eschscholtzii klauberi,NA,NA
5218365,Eurycea junaluska,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,Eurycea junaluska,NA,NA,NA
5218346,Eurycea spelaea,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,Eurycea spelaea,NA,NA,NA
2421766,Gastrophryne carolinensis,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne carolinensis,NA,NA,NA
2431666,Hemidactylium scutatum,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,Hemidactylium scutatum,NA,NA,NA
2431664,Hydromantes brunus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hydromantes,Hydromantes brunus,NA,NA,NA
2431663,Hydromantes shastae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hydromantes,Hydromantes shastae,NA,NA,NA
10771002,Hyla avivoca,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,Dryophytes avivoca,NA,NA,NA
2427062,Lithobates blairi,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates blairi,NA,NA,NA
2427120,Lithobates capito,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates capito,NA,NA,NA
2427072,Lithobates sylvatica,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus,NA,NA,NA
2432048,Necturus maculosus,Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus,Necturus maculosus,NA,NA,NA
5218400,Notophthalmus perstriatus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,Notophthalmus perstriatus,NA,NA,NA
2431496,Plethodon caddoensis,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon caddoensis,NA,NA,NA
