adminforestid,region,forestnumber,forestorgcode,forestname,gis_acres
99081600010343,08,16,0816,El Yunque National Forest,55812.15
99277d9a-c8c4-49c4-aced-d7f8e1d8c78a,08,36,0836,Savannah River Site,198067.576
e23b8205-a516-4aa3-945e-5dd93dbfe227,08,60,0860,Land Between the Lakes National Recreation Area,171280.057
99090300010343,09,03,0903,Chippewa National Forest,1598132.484
99090400010343,09,04,0904,Huron-Manistee National Forest,2028199.813
99090500010343,09,05,0905,Mark Twain National Forest,3071283.517
99090700010343,09,07,0907,Ottawa National Forest,1562417.957
99090800010343,09,08,0908,Shawnee National Forest,930023.752
99090900010343,09,09,0909,Superior National Forest,3886744.5700000003
99091000010343,09,10,0910,Hiawatha National Forest,1300315.331
99091200010343,09,12,0912,Hoosier National Forest,646946.203
99091300010343,09,13,0913,Chequamegon-Nicolet National Forest,2005621.379
99091400010343,09,14,0914,Wayne National Forest,856180.227
99091500010343,09,15,0915,Midewin National Tallgrass Prairie,27565.947
99091900010343,09,19,0919,Allegheny National Forest,740870.177
99092000010343,09,20,0920,Green Mountain and Finger Lakes National Forests,853920.616
99092100010343,09,21,0921,Monongahela National Forest,1703725.856
99092200010343,09,22,0922,White Mountain National Forest,947310.8300000001
99100400010343,10,04,1004,Chugach National Forest,6244664.491
99100500010343,10,05,1005,Tongass National Forest,17700540.099
99010200010343,01,02,0102,Beaverhead-Deerlodge National Forest,3614441.557
99010300010343,01,03,0103,Bitterroot National Forest,1664505.633
99010400010343,01,04,0104,Idaho Panhandle National Forests,2943321.271
99011000010343,01,10,0110,Flathead National Forest,2651682.45
99011100010343,01,11,0111,Custer Gallatin National Forest,3412189.636
99011400010343,01,14,0114,Kootenai National Forest,2622031.486
99011500010343,01,15,0115,Helena-Lewis and Clark National Forest,3177716.457
99011600010343,01,16,0116,Lolo National Forest,2625446.455
99011700010343,01,17,0117,Nez Perce-Clearwater National Forest,4072778.439
99011800010343,01,18,0118,Dakota Prairie Grasslands,1384924.563
99020200010343,02,02,0202,Bighorn National Forest,1112943.248
99020300010343,02,03,0203,Black Hills National Forest,1537476.899
99020400010343,02,04,0204,"Grand Mesa, Uncompahgre and Gunnison National Forests",3153185.067
99020600010343,02,06,0206,Medicine Bow-Routt National Forest,4592778.78
99020700010343,02,07,0207,Nebraska National Forest,2064847.942
99020900010343,02,09,0209,Rio Grande National Forest,1937272.167
99021000010343,02,10,0210,Arapaho and Roosevelt National Forests,2491773.153
99021200010343,02,12,0212,Pike and San Isabel National Forests,3968978.194
99021300010343,02,13,0213,San Juan National Forest,2094524.191
99021400010343,02,14,0214,Shoshone National Forest,2469213.988
99021500010343,02,15,0215,White River National Forest,2482700.843
99030100010343,03,01,0301,Apache-Sitgreaves National Forests,2110679.22
99030200010343,03,02,0302,Carson National Forest,1592466.188
99030300010343,03,03,0303,Cibola National Forest,3215646.675
99030400010343,03,04,0304,Coconino National Forest,2000943.613
99030500010343,03,05,0305,Coronado National Forest,1785083.74
99030600010343,03,06,0306,Gila National Forest,3389380.142
99030700010343,03,07,0307,Kaibab National Forest,1581382.132
99030800010343,03,08,0308,Lincoln National Forest,1261948.641
99030900010343,03,09,0309,Prescott National Forest,1411544.385
99031000010343,03,10,0310,Santa Fe National Forest,1681814.368
99031200010343,03,12,0312,Tonto National Forest,2966404.973
99040100010343,04,01,0401,Ashley National Forest,1401237.56
99040200010343,04,02,0402,Boise National Forest,2526852.025
99040300010343,04,03,0403,Bridger-Teton National Forest,3466345.072
99040700010343,04,07,0407,Dixie National Forest,1711278.183
99040800010343,04,08,0408,Fishlake National Forest,1788255.484
99041000010343,04,10,0410,Manti-La Sal National Forest,1414379.997
99041200010343,04,12,0412,Payette National Forest,2407296.561
99041300010343,04,13,0413,Salmon-Challis National Forest,4396364.611
99041400010343,04,14,0414,Sawtooth National Forest,2190131.445
99041500010343,04,15,0415,Caribou-Targhee National Forest,3077743.767
99041700010343,04,17,0417,Humboldt-Toiyabe National Forest,6704280.108
99041900010343,04,19,0419,Uinta-Wasatch-Cache National Forest,2912947.615
99050100010343,05,01,0501,Angeles National Forest,706716.264
99050200010343,05,02,0502,Cleveland National Forest,561885.166
99050300010343,05,03,0503,Eldorado National Forest,793649.348
99050400010343,05,04,0504,Inyo National Forest,2096997.658
99050500010343,05,05,0505,Klamath National Forest,1705444.571
99050600010343,05,06,0506,Lassen National Forest,1488705.875
99050700010343,05,07,0507,Los Padres National Forest,1970257.556
99050800010343,05,08,0508,Mendocino National Forest,1073575.909
99050900010343,05,09,0509,Modoc National Forest,2023017.421
99051000010343,05,10,0510,Six Rivers National Forest,1273943.649
99051100010343,05,11,0511,Plumas National Forest,1431947.512
99051200010343,05,12,0512,San Bernardino National Forest,805479.407
99051300010343,05,13,0513,Sequoia National Forest,1160048.337
99051400010343,05,14,0514,Shasta-Trinity National Forest,2715488.405
99051500010343,05,15,0515,Sierra National Forest,1418783.979
99051600010343,05,16,0516,Stanislaus National Forest,1090349.723
99051700010343,05,17,0517,Tahoe National Forest,1181134.741
99051900010343,05,19,0519,Lake Tahoe Basin Management Unit,331806.163
99060100010343,06,01,0601,Deschutes National Forest,1870108.346
99060200010343,06,02,0602,Fremont-Winema National Forest,2815956.445
99060300010343,06,03,0603,Gifford Pinchot National Forest,1496301.726
99060400010343,06,04,0604,Malheur National Forest,1786533.257
99060500010343,06,05,0605,Mt. Baker-Snoqualmie National Forest,2025509.866
99060600010343,06,06,0606,Mt. Hood National Forest,1060155.609
99060700010343,06,07,0607,Ochoco National Forest,912771.266
99060900010343,06,09,0609,Olympic National Forest,697407.716
99061000010343,06,10,0610,Rogue River-Siskiyou National Forests,1852697.568
99061200010343,06,12,0612,Siuslaw National Forest,835596.138
99061400010343,06,14,0614,Umatilla National Forest,1498094.355
99061500010343,06,15,0615,Umpqua National Forest,1035832.733
99061600010343,06,16,0616,Wallowa-Whitman National Forest,2525282.266
99061700010343,06,17,0617,Okanogan-Wenatchee National Forest,3857265.201
99061800010343,06,18,0618,Willamette National Forest,1801284.58
99062100010343,06,21,0621,Colville National Forest,1752987.434
99062200010343,06,22,0622,Columbia River Gorge National Scenic Area,292681.117
99080100010343,08,01,0801,National Forests in Alabama,1289507.346
99080200010343,08,02,0802,Daniel Boone National Forest,2043064.595
99080300010343,08,03,0803,Chattahoochee-Oconee National Forests,1796309.386
99080400010343,08,04,0804,Cherokee National Forest,1228292.845
99080500010343,08,05,0805,National Forests in Florida,1423176.876
99080600010343,08,06,0806,Kisatchie National Forest,1063024.43
99080700010343,08,07,0807,National Forests in Mississippi,2373296.23
99080800010343,08,08,0808,George Washington and Jefferson National Forest,3487946.799
99080900010343,08,09,0809,Ouachita National Forest,2724410.655
99081000010343,08,10,0810,Ozark-St. Francis National Forest,1532893.881
99081100010343,08,11,0811,National Forests in North Carolina,3026214.982
99081200010343,08,12,0812,Francis Marion and Sumter National Forests,1381162.477
99081300010343,08,13,0813,National Forests in Texas,1921491.935
