ID_taxonID,scientificName,sPrimaryCommonName,synonymName,SWAP2015,SWAP2023,SWAP2023designation,lastUpdated,taxonomyNotes,comments,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id,subspecies,variety
18709,Ascaphus montanus,Rocky Mountain Tailed Frog,NA,NA,TRUE,SGIN - E,2024-04-15T00:00:00Z,NA,NA,2429805,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,Ascaphus montanus,2429805,NA,NA
17288,Anaxyrus boreas,Western Toad,NA,TRUE,TRUE,SGCN,2024-04-15T00:00:00Z,NA,NA,2422924,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,2422924,NA,NA
18129,Anaxyrus woodhousii,Woodhouse's Toad,NA,TRUE,TRUE,SGCN,2024-04-15T00:00:00Z,NA,NA,2422865,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii,2422865,NA,NA
16367,Lithobates pipiens,Northern Leopard Frog,NA,TRUE,TRUE,SGCN,2024-04-15T00:00:00Z,NA,NA,2427185,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,2427185,NA,NA
80518,Rana luteiventris pop. 3,Columbia Spotted Frog  (Great Basin population),NA,TRUE,TRUE,SGCN,2024-04-15T00:00:00Z,NA,NA,2426785,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana luteiventris,2426785,NA,NA
18916,Spea intermontana,Great Basin Spadefoot,NA,NA,TRUE,SGIN - E,2024-04-15T00:00:00Z,NA,NA,2429791,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea intermontana,2429791,NA,NA
18250,Dicamptodon aterrimus,Idaho Giant Salamander,NA,NA,TRUE,SGIN - E,2024-04-15T00:00:00Z,NA,NA,2432026,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,Dicamptodon aterrimus,2432026,NA,NA
15699,Plethodon idahoensis,Coeur d'Alene Salamander,NA,NA,TRUE,SGIN - E,2024-04-15T00:00:00Z,NA,NA,2431485,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon idahoensis,2431485,NA,NA
18111,Anas acuta,Northern Pintail,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2498112,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas acuta,2498112,NA,NA
15453,Spatula cyanoptera,Cinnamon Teal,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,Formerly placed in the genus Anas.,NA,9345027,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula cyanoptera,9345027,NA,NA
19287,Cygnus buccinator,Trumpeter Swan,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2498345,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus buccinator,2498345,NA,NA
18872,Histrionicus histrionicus,Harlequin Duck,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2498224,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,Histrionicus histrionicus,2498224,NA,NA
