group,scientific_name,common_name,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Amphibians,Dicamptodon aterrimus,Idaho Giant,2432026,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,Dicamptodon aterrimus,2432026
Amphibians,Plethodon idahoensis,Coeur d'Alene,2431485,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon idahoensis,2431485
Amphibians,Spea bombifrons,Plains Spadefoot,2429789,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea bombifrons,2429789
Amphibians,Lithobates pipiens,Northern Leopard,2427185,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,2427185
Amphibians,Anaxyrus cognatus,Great Plains Toad,2422882,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus,2422882
Amphibians,Anaxyrus boreas,Western Toad,2422924,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,2422924
Birds,Himantopus mexicanus,Black-necked Stilt,5229128,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus mexicanus,5229128
Birds,Botaurus lentiginosus,American Bittern,2480911,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus lentiginosus,2480911
Birds,Nycticorax nycticorax,Black-crowned Night-,2480863,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax,2480863
Birds,Ardea herodias,Great Blue Heron,9630752,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea herodias,9630752
Birds,Dolichonyx oryzivorus,Bobolink,2484417,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,2484417
Birds,Poecile hudsonicus,Boreal Chickadee,2487793,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile hudsonicus,2487793
Birds,Grus americana,Whooping Crane,2474941,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana,2474941
Birds,Certhia americana,Brown Creeper,9581157,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia americana,9581157
Birds,Coccyzus,Black-billed Cuckoo,2496285,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,NA,2496285
NA,erythropthalmus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birds,Coccyzus americanus,Yellow-billed Cuckoo,2496287,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,2496287
Birds,Falco peregrinus,Peregrine Falcon,2481047,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,2481047
