taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
2434878,Conepatus leuconotus,American hognosed skunk,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5847373,Martes caurina,Pacific marten,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2437232,Cynomys ludovicianus,black-tailed prairie dog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
4262556,Ovis canadensis nelsoni,desert bighorn sheep,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2432399,Myotis thysanodes,fringed myotis,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2437236,Cynomys gunnisoni,Gunnison’s prairie dog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
11138256,Lasiurus cinereus,hoary bat,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5219311,Vulpes macrotis,kit fox,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2436053,Sorex hoyi,pygmy shrew,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2433727,Lontra canadensis,river otter,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
4262538,Ovis canadensis canadensis,Rocky Mountain bighorn sheep,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2432579,Euderma maculatum,Spotted bat,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5219290,Vulpes velox,swift fox,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2432479,Corynorhinus townsendii,Townsend’s big-eared bat,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
