taxon_id,gbif_taxonID,scientific_name,common_name,blm_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
4056689,4056689,Aliciella caespitosa,Rabbit Valley gilia,S,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Aliciella,Aliciella caespitosa,NA,NA
4056457,4056457,Aliciella tenuis,Mussentuchit gilia,S,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Aliciella,Aliciella tenuis,NA,NA
3921415,3921415,Aquilegia atwoodii,Atwood’s columbine,S,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia atwoodii,NA,NA
3931374,3931374,Aquilegia desolaticola,Desolation Canyon columbine,S,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia desolaticola,NA,NA
3929772,3929772,Aquilegia scopulorum var goodrichii,Goodrich’s columbine,S,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia scopulorum,NA,Aquilegia scopulorum goodrichii
3043434,5373995,Arabis goodrichii,Goodrich eared rockcress,S,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Boechera,Boechera goodrichii,NA,NA
3043225,5373864,Arabis vivariensis,Park rockcress,S,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Boechera,Boechera fernaldiana,NA,NA
5343087,5343087,Astragalus ampullarius,Gumbo milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus ampullarius,NA,NA
5345744,5345744,Astragalus anserinus,Goose Creek milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus anserinus,NA,NA
5343531,5343531,Astragalus cronquistii,Cronquist's milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus cronquistii,NA,NA
5344803,5345993,Astragalus equisolensis,Horseshoe milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus desperatus,NA,NA
5346732,5346732,Astragalus hamiltonii,Hamilton's milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus hamiltonii,NA,NA
5346510,5346510,Astragalus iselyi,Isely's milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus iselyi,NA,NA
5344824,5344824,Astragalus lentiginosus var pohlii,Pohl's milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus lentiginosus,NA,Astragalus lentiginosus pohlii
5344448,5344448,Astragalus loanus,Loa milkvetch; Glenwood milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus loanus,NA,NA
5346115,5346115,Astragalus oophorus var lonchocalyx,Pink egg milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus oophorus,NA,Astragalus oophorus lonchocalyx
5343529,5343529,Astragalus pubentissimus var peabodianus,Peabody's milkvetch; Green River milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus pubentissimus,NA,Astragalus pubentissimus peabodianus
7258892,7258892,Astragalus sabulosus var sabulosus,Cisco milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus sabulosus,NA,Astragalus sabulosus sabulosus
5613308,5613308,Astragalus sabulosus var vehiculus,Stage milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus sabulosus,NA,Astragalus sabulosus vehiculus
5344960,5344960,Astragalus striatiflorus,Escarpment milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus striatiflorus,NA,NA
5346221,5346221,Astragalus welshii,Welsh's milkvetch; Loa milkvetch,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus welshii,NA,NA
3755849,3755849,Atriplex canescens var gigantea,Dunes four-wing saltbush,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex canescens,NA,Atriplex canescens gigantea
9379108,3189036,Camissonia bairdii,Baird's camissonia,S,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chylismia,Chylismia scapoidea,NA,NA
7161471,3667673,Camissonia bolanderi,Bolander's camissonia,S,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chylismia,Chylismia walkeri,NA,NA
5545085,3189021,Camissonia gouldii,Gould's camissonia,S,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Eremothera,Eremothera gouldii,NA,NA
3112917,3112920,Cirsium virginense,Virgin thistle,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium mohavense,NA,NA
3872224,3872224,Cleomella hillmanii var goodrichii,Goodrich's stickweed,S,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella hillmanii,NA,Cleomella hillmanii goodrichii
7459090,2926197,Cryptantha barnebyi,Barneby's cryptanth; Oilshale cryptantha,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Oreocarya,Oreocarya barnebyi,NA,NA
8058370,2926248,Cryptantha compacta,Mound cryptanth,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Oreocarya,Oreocarya compacta,NA,NA
8361933,2926295,Cryptantha creutzfeldtii,Creutzfeldt-flower,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Oreocarya,Oreocarya creutzfeldtii,NA,NA
9653924,3034475,Cymopterus beckii,Pinnate spring-parsley,S,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pseudocymopterus,Pseudocymopterus beckii,NA,NA
5353242,5353242,Dalea flavescens var epica,Hole-in-the-rock prairie-clover,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea flavescens,NA,Dalea flavescens epica
3189178,3189178,Epilobium nevadense,Nevada willowherb,S,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium nevadense,NA,NA
3102944,3102944,Ericameria crispa,Pine Valley goldenbush,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ericameria,Ericameria crispa,NA,NA
3103030,3103030,Ericameria lignumviridis,Greenwood's goldenbush,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ericameria,Ericameria lignumviridis,NA,NA
3147057,3147057,Erigeron kachinensis,Kachina daisy,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron kachinensis,NA,NA
3147332,3147332,Erigeron maguirei,Maguire's daisy,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron maguirei,NA,NA
3147185,3147185,Erigeron untermannii,Untermann's daisy,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron untermannii,NA,NA
2889445,2889445,Eriogonum ammophilum,Ibex buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum ammophilum,NA,NA
4032905,4032905,Eriogonum artificis,Kaye H. Thorne's buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum artificis,NA,NA
4038507,4038507,Eriogonum brevicaule var mitophyllum,Lost Creek wild buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum brevicaule,NA,Eriogonum brevicaule mitophyllum
2889521,2889521,Eriogonum corymbosum var smithii,Flat Top buckwheat; Smith's wild buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum smithii,NA,Eriogonum corymbosum smithii
2889488,2889488,Eriogonum cronquistii,Cronquist's buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum cronquistii,NA,NA
4035419,4035419,Eriogonum pharnaceoides var cervinum,Wirestem buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum pharnaceoides,NA,Eriogonum pharnaceoides cervinum
7983280,4035403,Eriogonum phoeniceum,Scarlet buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum microtheca,NA,NA
4034718,4034718,Eriogonum racemosum var nobilis,Bluff buckwheat,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum zionis,NA,Eriogonum racemosum nobilis
2889655,2889655,Eriogonum soredium,Frisco buckwheat,S; C,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum soredium,NA,NA
3066621,3066621,Euphorbia nephradenia,Utah spurge,S,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia nephradenia,NA,NA
8057351,8057351,Frasera ackermaniae,Ackerman's green gentian,S,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Frasera,Frasera ackermaniae,NA,NA
3169985,3169985,Frasera gypsicola,White River swertia,S,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Frasera,Frasera gypsicola,NA,NA
3112407,3112410,Hymenoxys lapidicola,Rock hymenoxys,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris torreyana,NA,NA
5370072,5370072,Ivesia shockleyi var ostleri,Ostler's ivesia; Wah Wah ivesia,S,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla shockleyi,NA,Ivesia shockleyi ostleri
5362088,5362088,Jamesia tetrapetala,Four-petal jamesia; Basin jamesia,S,Plantae,Tracheophyta,Magnoliopsida,Cornales,Hydrangeaceae,Jamesia,Jamesia tetrapetala,NA,NA
5376990,5376990,Lepidium huberi,Huber's pepperplant,S,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium huberi,NA,NA
5376463,5376463,Lepidium ostleri,Ostler pepperplant,S; C,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium ostleri,NA,NA
3034357,3034357,Lomatium latilobum,Canyonlands lomatium,S,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium latilobum,NA,NA
7225172,7225172,Lupinus caudatus var cutleri,Cutler's spurred lupine,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus caudatus,NA,Lupinus caudatus cutleri
4237757,4237757,Lygodesmia grandiflora var entrada,Entrada rushpink,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lygodesmia,Lygodesmia grandiflora,NA,Lygodesmia grandiflora entrada
