taxon_id,gbif_taxonID,scientific_name,common_name,s_rank_1,n_rank_2,federal_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
2422911,2422911,Anaxyrus Microscaphus,Arizona Toad,S3,N3/N4,NA,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus microscaphus,NA,NA
2426785,2426785,Rana luteiventris,Columbia Spotted Frog,S3,N2/N3,NA,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana luteiventris,NA,NA
2427185,2427185,Lithobates pipiens,Northern Leopard Frog,S3,N5,NA,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,NA,NA
2427106,2427106,Lithobates onca,Relic Leopard Frog,SX,N1/N2,NA,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates onca,NA,NA
2422924,2422924,Anaxyrus boreas,Western Toad,S3,N4,NA,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,NA,NA
2480911,2480911,Botaurus lentiginosus,American Bittern,"S3/S4B,S3N",N4B/N4N,NA,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus lentiginosus,NA,NA
5229155,5229155,Pelecanus erythrorhynchos,American White Pelican,S3B,N4,NA,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,NA,NA
2480446,2480446,Haliaeetus leucocephalus,Bald Eagle,S2B/S4N,N5B/N5N,NA,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,NA,NA
2495266,2495266,Patagioenas fasciata,Band-tailed Pigeon,S3B,N4B/N4N,NA,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata,NA,NA
5231697,5231697,Toxostoma bendirei,Bendire's Thrasher,SU,N4B/NNRN,NA,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma bendirei,NA,NA
2494372,2494372,Leucosticte atrata,Black Rosy-finch,S1,N4,NA,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte atrata,NA,NA
2477282,2477282,Cypseloides niger,Black Swift,S2B,N4B,NA,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,Cypseloides niger,NA,NA
5739298,5739298,Aegolius funereus,Boreal Owl,S2,N4,NA,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius funereus,NA,NA
2497240,2497240,Athene cunicularia,Burrowing Owl,S3B,N4B/N4N,NA,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,NA,NA
2481920,2481920,Gymnogyps californianus,California Condor,S1,N1,Endangered,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Gymnogyps,Gymnogyps californianus,NA,NA
2481236,2481236,Hydroprogne caspia,Caspian Tern,S3B,"N4/N5B,N4N",NA,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,NA,NA
2473514,2473514,Tympanuchus phasianellus,Columbian Sharp-tailed Grouse,S2,N4,NA,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,Tympanuchus phasianellus,NA,NA
2480566,2480566,Buteo regalis,Ferruginous Hawk,S3B,N4B/N4N,NA,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,NA,NA
7807178,7807178,Psiloscops flammeolus,Flammulated Owl,S3/S4B,N4B,NA,Animalia,Chordata,Aves,Strigiformes,Strigidae,Psiloscops,Psiloscops flammeolus,NA,NA
2480506,2480506,Aquila chrysaetos,Golden Eagle,S4,N5B/N5N,NA,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,NA,NA
5959240,5959240,Centrocercus urophasianus,Greater Sage-grouse,S3,N3/N4,NA,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,NA,NA
5959243,5959243,Centrocercus minimus,Gunnison Sage-grouse,S2,N1,Threatened,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus minimus,NA,NA
2478142,2478142,Melanerpes lewis,Lewis's Woodpecker,S3,N4B/N4N,NA,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes lewis,NA,NA
6176045,6176045,Strix occidentalis lucida,Mexican Spotted Owl,S2,N3,Threatened,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix occidentalis,Strix occidentalis lucida,NA
9616953,9616953,Glaucidium gnoma,Northern Pygmy-owl,S3/S4B,N4/N5,NA,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium gnoma,NA,NA
5229743,5229743,Contopus cooperi,Olive-sided Flycatcher,S3/S4B,N4B,NA,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus cooperi,NA,NA
2481047,2481047,Falco peregrinus,Peregrine Falcon,S3B,N4B/N4N,NA,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,NA,NA
5229498,5229498,Gymnorhinus cyanocephalus,Pinyon Jay,S4,N3,NA,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus,Gymnorhinus cyanocephalus,NA,NA
6065879,6065879,Charadrius nivosus,Snowy Plover,S3B,N3B/N3N,NA,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius nivosus,NA,NA
6174856,6174856,Empidonax traillii extimus,Southwestern Willow Flycatcher,S1B,N1B,Endangered,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii extimus,NA
9375033,9375033,Plegadis chihi,White-faced Ibis,S2/S3B,N4B/N4N,NA,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis chihi,NA,NA
6170319,6170319,Coccyzus americanus occidentalis,Western Yellow-billed Cuckoo,S2B,N3B,Threatened,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,Coccyzus americanus occidentalis,NA
2226988,2226988,Pacifastacus gambelii,Pilose Crayfish,S2,N4/N5,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus,Pacifastacus gambelii,NA,NA
2217827,2217827,Stygobromus utahensis,Utah Amphipod,SNR,N1/N2,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Stygobromus,Stygobromus utahensis,NA,NA
2334120,2334120,Cottus extensus,Bear Lake Sculpin,S1,N3,NA,Animalia,Chordata,NA,Scorpaeniformes,Cottidae,Cottus,Cottus extensus,NA,NA
2351528,2351528,Prosopium abyssicola,Bear Lake Whitefish,S1,N1,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Prosopium,Prosopium abyssicola,NA,NA
4286866,4286866,Catostomus discobolus,Bluehead Sucker,S3,N4,NA,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Catostomus,Catostomus discobolus,NA,NA
2351525,2351525,Prosopium gemmifer,Bonneville Cisco,S1,N3,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Prosopium,Prosopium gemmifer,NA,NA
5711989,5711989,Oncorhynchus clarkii utah,Bonneville Cutthroat Trout,S4,N4,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii utah,NA
2351522,2351522,Prosopium spilonotus,Bonneville Whitefish,S1,N3,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Prosopium,Prosopium spilonotus,NA,NA
2360109,2360109,Gila elegans,Bonytail,S1,N1,Endangered,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Gila,Gila elegans,NA,NA
5205692,5205692,Ptychocheilus lucius,Colorado Pikeminnow,S3,N1,Endangered,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Ptychocheilus,Ptychocheilus lucius,NA,NA
5853893,5853893,Oncorhynchus clarkii pleuriticus,Colorado River Cutthroat Trout,S3,N2/N3,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarki pleuriticus,NA
2359050,2359050,Catostomus clarkii,Desert Sucker,S3,N3/N4,NA,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Catostomus,Catostomus clarkii,NA,NA
2359036,2359036,Catostomus latipinnis,Flannelmouth Sucker,S3,N3/N4,NA,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Catostomus,Catostomus latipinnis,NA,NA
2360081,2360081,Gila cypha,Humpback Chub,S2,N1,Threatened,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Gila,Gila cypha,NA,NA
